# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.usedNativeBytes,1788181958716000000,1788182018927000000,384987736
JVM.usedHeapBytes,1788181958716000000,1788182018927000000,560463872
JVM.threadCount,1788181958716000000,1788182018927000000,131
MEM.fileMappingsRamBytes,1788181958716000000,1788182018927000000,360886272
MEM.ramPlusSwapMinusFileMappingsBytes,1788181958716000000,1788182018927000000,2005667840
JVM.totalTimeToSafepointsMs,1788181958716000000,1788182018927000000,121
JVM.GC.collections,1788181958716000000,1788182018927000000,56
JVM.newThreadsCount,1788181958716000000,1788182018927000000,158
MEM.ramMinusFileMappingsBytes,1788181958716000000,1788182018927000000,1940422656
JVM.totalBytesAllocated,1788181958716000000,1788182018927000000,4106676016
JVM.totalDirectByteBuffersBytes,1788181958716000000,1788182018927000000,410017800
JVM.totalTimeAtSafepointsMs,1788181958716000000,1788182018927000000,672
MEM.ramBytes,1788181958716000000,1788182018927000000,2542473216
JVM.GC.collectionTimesMs,1788181958716000000,1788182018927000000,665
JVM.totalCpuTimeMs,1788181958716000000,1788182018927000000,129774
JVM.maxHeapBytes,1788181958716000000,1788182018927000000,2147483648
JVM.committedHeapBytes,1788181958716000000,1788182018927000000,771751936
OS.loadAverage,1788181958716000000,1788182018927000000,7.74169921875
JVM.maxThreadCount,1788181958716000000,1788182018927000000,133
JVM.totalSafepointCount,1788181958716000000,1788182018927000000,80
compiler.ArtifactManagerBridge.initBridges.ms,1788181958716000000,1788182018927000000,1
compiler.ArtifactManagerBridge.findArtifact.ms,1788181958716000000,1788182018927000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1788181958716000000,1788182018927000000,3
compiler.ArtifactManagerBridge.dropMappings.ms,1788181958716000000,1788182018927000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1788181958716000000,1788182018927000000,0
compiler.ArtifactManagerBridge.commit.ms,1788181958716000000,1788182018927000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1788181958716000000,1788182018927000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1788181958716000000,1788182018927000000,0
FilePageCache.uncachedFileAccess,1788181958716000000,1788182018927000000,529
StorageLockContext.competingThreads.avg,1788181958716000000,1788182018927000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1788181958716000000,1788182018927000000,410009600
FilePageCache.totalPageLoadsUs,1788181958716000000,1788182018927000000,929691
FilePageCache.pageFastCacheHits,1788181958716000000,1788182018927000000,325817
StorageLockContext.competingThreads.90P,1788181958716000000,1788182018927000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1788181958716000000,1788182018927000000,48365
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1788181958716000000,1788182018927000000,0
FilePageCache.disposedBuffers,1788181958716000000,1788182018927000000,3
FilePageCache.maxCacheSizeInBytes,1788181958716000000,1788182018927000000,410009600
DirectByteBufferAllocator.disposed,1788181958716000000,1788182018927000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1788181958716000000,1788182018927000000,199502
FilePageCache.totalPageDisposalsUs,1788181958716000000,1788182018927000000,3745
StreamlinedBlobStorage.recordsRelocated,1788181958716000000,1788182018927000000,0
MappedFileStorage.totalPagesMapped,1788181958716000000,1788182018927000000,14
FilePageCache.capacityInBytes,1788181958716000000,1788182018927000000,629145600
MappedFileStorage.totalBytesMapped,1788181958716000000,1788182018927000000,194248704
DirectByteBufferAllocator.hits,1788181958716000000,1788182018927000000,3
StorageLockContext.competingThreads.max,1788181958716000000,1788182018927000000,0
FilePageCache.pageLoads,1788181958716000000,1788182018927000000,396
StreamlinedBlobStorage.recordsAllocated,1788181958716000000,1788182018927000000,2534
StreamlinedBlobStorage.recordsDeleted,1788181958716000000,1788182018927000000,3
DirectByteBufferAllocator.reclaimed,1788181958716000000,1788182018927000000,3
MappedFileStorage.storages,1788181958716000000,1788182018927000000,14
FilePageCache.maxRegisteredFiles,1788181958716000000,1788182018927000000,685
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1788181958716000000,1788182018927000000,61875
FilePageCache.pageHits,1788181958716000000,1788182018927000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1788181958716000000,1788182018927000000,0
DirectByteBufferAllocator.misses,1788181958716000000,1788182018927000000,393
AWTEventQueue.dispatchTimeMaxNs,1788181958716000000,1788182018927000000,0
FlushQueue.tasksExecuted,1788181958716000000,1788182018927000000,0
NonBlockingReadAction.failedExecutionTimeUs,1788181958716000000,1788182018927000000,176008
FlushQueue.waitingTime90PNs,1788181958716000000,1788182018927000000,0
AWTEventQueue.dispatchTimeTotalNS,1788181958716000000,1788182018927000000,11644984762
AWTEventQueue.dispatchTime90PNs,1788181958716000000,1788182018927000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1788181958716000000,1788182018927000000,467889
FlushQueue.queueSizeAvg,1788181958716000000,1788182018927000000,0.0
FlushQueue.executionTimeAvgNs,1788181958716000000,1788182018927000000,0.0
NonBlockingReadAction.failedExecutionsCount,1788181958716000000,1788182018927000000,1
ReadAction.executionsCount,1788181958716000000,1788182018927000000,4513
AWTEventQueue.eventsDispatched,1788181958716000000,1788182018927000000,0
FlushQueue.executionTime90PNs,1788181958716000000,1788182018927000000,0
FlushQueue.queueSizeMax,1788181958716000000,1788182018927000000,0
FlushQueue.waitingTimeAvgNs,1788181958716000000,1788182018927000000,0.0
FlushQueue.executionTimeMaxNs,1788181958716000000,1788182018927000000,0
WriteAction.executionsCount,1788181958716000000,1788182018927000000,16
FlushQueue.waitingTimeMaxNs,1788181958716000000,1788182018927000000,0
NonBlockingReadAction.finalizedExecutionsCount,1788181958716000000,1788182018927000000,28
AWTEventQueue.dispatchTimeAvgNs,1788181958716000000,1788182018927000000,0.0
FlushQueue.queueSize90P,1788181958716000000,1788182018927000000,0
cacheStateStorage.get.counter,1788181958716000000,1788182018927000000,20
