# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.max.wait.ms,1788266239626000000,1788266244958000000,2
DiskQueryRelay.taskWaitingTotalTimeUs,1788266239626000000,1788266244958000000,80124
DiskQueryRelay.tasksExecuted,1788266239626000000,1788266244958000000,31
writeAction.wait.ms,1788266239626000000,1788266244958000000,2
writeAction.count,1788266239626000000,1788266244958000000,1
DiskQueryRelay.taskExecutionTotalTimeUs,1788266239626000000,1788266244958000000,31296
writeAction.median.wait.ms,1788266239626000000,1788266244958000000,0
DiskQueryRelay.tasksRequested,1788266239626000000,1788266244958000000,31
cacheStateStorage.set.counter,1788266239626000000,1788266244958000000,0
cacheStateStorage.get.counter,1788266239626000000,1788266244958000000,1
cacheStateStorage.set.duration,1788266239626000000,1788266244958000000,0
cacheStateStorage.get.duration,1788266239626000000,1788266244958000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1788266239626000000,1788266244958000000,0
Indexing.writesQueuedAvg,1788266239626000000,1788266244958000000,0.0
Indexing.writesQueuedMin,1788266239626000000,1788266244958000000,0
Indexing.cache.totalCacheMisses,1788266239626000000,1788266244958000000,0
Indexing.cache.totalCacheAccesses,1788266239626000000,1788266244958000000,0
Indexing.writesQueuedMax,1788266239626000000,1788266244958000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1788266239626000000,1788266244958000000,0
Indexing.totalTimeIndexersSleptMs,1788266239626000000,1788266244958000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1788266239626000000,1788266244958000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1788266239626000000,1788266244958000000,0
Indexing.cache.totalCacheEvicted,1788266239626000000,1788266244958000000,0
FilePageCache.pageFastCacheHits,1788266239626000000,1788266244958000000,5397
FilePageCache.maxCacheSizeInBytes,1788266239626000000,1788266244958000000,259014656
FilePageCache.capacityInBytes,1788266239626000000,1788266244958000000,629145600
StorageLockContext.competingThreads.avg,1788266239626000000,1788266244958000000,1.7142857142857142
FilePageCache.disposedBuffers,1788266239626000000,1788266244958000000,254
FilePageCache.totalPageLoadsUs,1788266239626000000,1788266244958000000,2109473
FilePageCache.pageLoadsAboveSizeThreshold,1788266239626000000,1788266244958000000,0
FilePageCache.totalPageDisposalsUs,1788266239626000000,1788266244958000000,3747
FilePageCache.maxRegisteredFiles,1788266239626000000,1788266244958000000,682
DirectByteBufferAllocator.reclaimed,1788266239626000000,1788266244958000000,47
StorageLockContext.competingThreads.max,1788266239626000000,1788266244958000000,6
DirectByteBufferAllocator.hits,1788266239626000000,1788266244958000000,5
MappedFileStorage.storages,1788266239626000000,1788266244958000000,0
DirectByteBufferAllocator.misses,1788266239626000000,1788266244958000000,249
FilePageCache.pageLoads,1788266239626000000,1788266244958000000,254
FilePageCache.uncachedFileAccess,1788266239626000000,1788266244958000000,131
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1788266239626000000,1788266244958000000,41959424
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1788266239626000000,1788266244958000000,41959424
FilePageCache.pageHits,1788266239626000000,1788266244958000000,0
DirectByteBufferAllocator.disposed,1788266239626000000,1788266244958000000,207
StorageLockContext.competingThreads.90P,1788266239626000000,1788266244958000000,6
MappedFileStorage.totalBytesMapped,1788266239626000000,1788266244958000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1788266239626000000,1788266244958000000,42257
MappedFileStorage.totalPagesMapped,1788266239626000000,1788266244958000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1788266239626000000,1788266244958000000,0
FlushQueue.queueSizeMax,1788266239626000000,1788266244958000000,23
WriteAction.executionsCount,1788266239626000000,1788266244958000000,1
AWTEventQueue.eventsDispatched,1788266239626000000,1788266244958000000,50
FlushQueue.executionTimeAvgNs,1788266239626000000,1788266244958000000,1.4323525632E8
ReadAction.executionsCount,1788266239626000000,1788266244958000000,17
FlushQueue.queueSize90P,1788266239626000000,1788266244958000000,22
FlushQueue.waitingTimeAvgNs,1788266239626000000,1788266244958000000,1.03983284224E9
FlushQueue.waitingTime90PNs,1788266239626000000,1788266244958000000,3405774847
FlushQueue.executionTime90PNs,1788266239626000000,1788266244958000000,32112639
FlushQueue.queueSizeAvg,1788266239626000000,1788266244958000000,12.28
AWTEventQueue.dispatchTimeTotalNS,1788266239626000000,1788266244958000000,4292765580
FlushQueue.waitingTimeMaxNs,1788266239626000000,1788266244958000000,4009754623
AWTEventQueue.dispatchTimeAvgNs,1788266239626000000,1788266244958000000,8.383901696E7
FlushQueue.executionTimeMaxNs,1788266239626000000,1788266244958000000,3489660927
FlushQueue.tasksExecuted,1788266239626000000,1788266244958000000,25
AWTEventQueue.dispatchTimeMaxNs,1788266239626000000,1788266244958000000,3506438143
AWTEventQueue.dispatchTime90PNs,1788266239626000000,1788266244958000000,35127295
VFS.folderCaseSensitivityReads,1788266239626000000,1788266244958000000,7
VFS.rootsCount,1788266239626000000,1788266244958000000,0.0
VFS.fileByIdCache.misses,1788266239626000000,1788266244958000000,0
VFS.fileByIdCache.hits,1788266239626000000,1788266244958000000,0
VFS.invertedFileNameIndex.requests,1788266239626000000,1788266244958000000,0
VFS.fileChildByName,1788266239626000000,1788266244958000000,18
